Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Mr. Stuart	50+	Male	Wealthy aristocrat	Arrogant, dismissive	Supporting character	Aristocrat	Chapter 2	Arrogant, skeptical	Challenges Fogg to the bet to travel around the world in eighty days	Minor antagonist, skeptical of Fogg’s ability to complete the challenge	Old, balding, haughty expression	Formal aristocratic clothing, typically in fine suits	ChatGPT	Around the World in Eighty Days	2025-01-20
Sir Francis Cromarty	40-50	Male	Retired military officer	Brave, experienced, resourceful	Supporting character	Retired military officer	Chapter 11	Brave, practical, good-humored	Joins Fogg and Passepartout during part of their journey across India	Acts as a reliable and experienced companion on the journey	Stocky build, commanding presence	Formal but worn military attire, often practical travel clothing	ChatGPT	Around the World in Eighty Days	2025-01-20
The Rajah of Bundelkhand	50+	Male	Indian prince	Authoritative, regal	Minor character	Indian prince	Chapter 11	Regal, proud, respectful of Fogg	Provides assistance to Fogg during his travels in India	Supports Fogg during the journey across India, helps him avoid trouble	Regal attire, adorned with jewels, traditional Indian royal clothing		ChatGPT	Around the World in Eighty Days	2025-01-20
Professor Lidenbrock	50-60	Male	Scientist, Icelandic scholar	Impulsive, brilliant, stubborn	Main protagonist	Professor of geology	Chapter 1	Driven, passionate, often irritable	Leads the expedition to the center of the Earth, highly focused on his research	Unwavering in his goals, occasionally clashes with others	Short, graying hair, sharp features	Formal academic attire, typically in dark tones, often in a coat	ChatGPT	A Journey to the Centre of the Earth	2025-01-20
Axel	20-25	Male	Student, nephew of Lidenbrock	Reluctant, intelligent, cautious	Main protagonist	Student	Chapter 1	Thoughtful, logical, often anxious	Reluctantly accompanies his uncle on the dangerous journey to the center of the Earth	Deeply devoted to his uncle, develops a romantic interest in Graüben	Young, fair-skinned, earnest expression	Light clothing, often in simple or academic attire, usually in browns or neutrals	ChatGPT	A Journey to the Centre of the Earth	2025-01-20
Graüben	18-20	Female	Fiancée of Axel	Supportive, strong-willed, caring	Supporting character	Fiancée	Chapter 1	Devoted, calm, resourceful	Supports Axel during his journey, waits for his return in Hamburg	Fiancée to Axel, cares deeply for him	Light, fair features, brown hair	Traditional European dresses, often in soft or muted tones	ChatGPT	A Journey to the Centre of the Earth	2025-01-20
Hans Belker	30-40	Male	Guide, Icelandic	Steady, silent, strong	Supporting character	Guide	Chapter 5	Calm, practical, reliable	Accompanies Lidenbrock and Axel on the journey as their guide and laborer	Trustworthy, forms a strong bond with the other two men	Sturdy, muscular build, weathered face	Practical, durable clothing (often in earth tones like brown or green)	ChatGPT	A Journey to the Centre of the Earth	2025-01-20
The Guide (Unnamed Icelandic Man)	30-40	Male	Icelandic	Steady, calm, practical	Minor character	Guide	Chapter 4	Quiet, resilient	Assists Lidenbrock and Axel in their journey to the center of the Earth	Loyal to Lidenbrock, avoids speaking much	Stout, practical attire suitable for dangerous journeys	Sturdy, simple clothing	ChatGPT	A Journey to the Centre of the Earth	2025-01-20
Cyrus Smith	40-45	Male	Engineer, American	Inventive, resourceful, determined	Main protagonist	Engineer	Chapter 1	Intelligent, calm under pressure, pragmatic	Leads the group of survivors on the island, engineers many solutions for survival and escape	Leader of the group, often seen as the group's guiding figure	Tall, bearded, intense expression	Practical work clothes, often in rugged earth tones	ChatGPT	The Mysterious Island	2025-01-20
Gideon Spilett	35-40	Male	Journalist, American	Brave, observant, calm	Supporting character	Journalist	Chapter 1	Reliable, logical, brave	Assists Cyrus Smith in planning their escape from the island, documents their adventures	Forms a strong bond with the others, particularly with Smith and Pencroff	Short, neatly combed hair, glasses	Professional clothing, but often rugged outdoor attire	ChatGPT	The Mysterious Island	2025-01-20
Pencroff	40-50	Male	Seaman, American	Optimistic, loyal, hardworking	Supporting character	Seaman	Chapter 1	Jovial, energetic, courageous	Works alongside Smith to build a ship and other vital structures for the group	Highly loyal to Cyrus Smith, humorous in nature	Stocky build, graying hair, cheerful face	Seaman’s uniform, typically in worn and rugged attire	ChatGPT	The Mysterious Island	2025-01-20
Harbert	16-18	Male	Teenager, American	Inventive, brave, enthusiastic	Supporting character	Student	Chapter 1	Youthful, adventurous, eager to learn	Assists in many of the tasks on the island, particularly in exploring and maintaining the group’s welfare	Respects Cyrus Smith as a father figure, particularly close to him	Young, handsome face, often wide-eyed	Outdoor clothing, simple and practical, in earth tones	ChatGPT	The Mysterious Island	2025-01-20
Top	Varies	Male	Dog, loyal companion	Loyal, brave, intelligent	Minor character	Dog	Chapter 1	Alert, protective, loyal	Accompanies the group on their journey and assists in various situations	Strong bond with the group, particularly with Harbert and Pencroff	Medium build, muscular	No clothing (dog)	ChatGPT	The Mysterious Island	2025-01-20
Ayrton	40-45	Male	Convict, English	Reformed, repentant, strong-willed	Minor character	Former convict	Chapter 15	Determined, remorseful, courageous	Rescued by the group from a hostile situation, eventually becomes a valuable member of the group	Gradually earns the group’s trust, particularly with Smith and the others	Sharp features, unkempt hair	Prisoner's clothes initially, later adopts simpler clothing	ChatGPT	The Mysterious Island	2025-01-20
Neb	30-40	Male	Servant, African-American	Kind, humorous, strong	Supporting character	Servant	Chapter 1	Compassionate, loyal, hardworking	Assists the group in daily tasks, has a positive attitude despite the challenges	Deeply loyal to Cyrus Smith, forms a close relationship with the other survivors	Strong build, jovial expression	Practical work clothes, often in worn dark tones	ChatGPT	The Mysterious Island	2025-01-20
Impey Barbicane	40-45	Male	American, wealthy scientist	Inventive, determined, logical	Main protagonist	President of the Gun Club	Chapter 1	Focused, calm, practical	Leads the plan to send a projectile to the Moon, organizes the entire project	Leader of the Gun Club, initially close to Captain Nicholl	Tall, solid build, clean-shaven	Formal clothing, often in a suit, generally dark tones	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Captain Nicholl	35-40	Male	Former military, American	Headstrong, competitive, brave	Supporting character	Retired military officer	Chapter 1	Determined, hot-headed, persistent	Initially opposes Barbicane's plan, later joins the journey around the Moon	Antagonistic at first, becomes a valued companion	Short, well-groomed hair, military bearing	Formal military attire (initially), later practical travel clothing	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Michel Ardan	30-35	Male	French, adventurer	Optimistic, charismatic, courageous	Supporting character	Inventor and adventurer	Chapter 2	Charming, daring, eloquent	Volunteers to accompany Barbicane and Nicholl on the journey to the Moon, optimistic about the adventure	Forms a bond with Barbicane and Nicholl, particularly close to them on the journey	Fair features, jovial expression	Light, comfortable clothing, often in French fashion (dapper)	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Jules Verne (Narrator)	40-50	Male	Writer, French	Descriptive, imaginative	Minor character	Writer	Chapter 1	Inventive, detailed, imaginative	Narrates the story, provides scientific explanations and details	Not a character in the story itself, but central to its telling	Neat appearance, glasses	Formal attire, in a European, scholarly style	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Gun Club Members	Varies	Male and Female	Various social standings	Scientific, patriotic	Supporting characters	Various occupations	Chapter 1	Varied personalities	Participate in the discussions and initial planning of the moon mission	Support Barbicane's idea, though some are skeptical	Varied features	Varied clothing, mostly casual or practical for the time period	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Colonel Thomas M. S.	Varies	Male	Officer, British	Determined, scientific	Supporting character	Colonel	Chapter 7	Strong-willed, methodical	Helps Barbicane with his project, lends resources for the mission	Works with Barbicane and others in the planning and execution of the launch	Short, rugged look, military uniform	Formal military uniform	ChatGPT	From the Earth to the Moon; and, Round the Moon	2025-01-20
Mary Grant	14-16	Female	Child, daughter of Captain Grant	Brave, determined, caring	Main protagonist	Daughter of Captain Grant	Chapter 1	Kind-hearted, courageous, resourceful	Leads the search for her father alongside her brother Robert, faces numerous challenges	Formidable bond with her brother Robert, inspired by her father's legacy	Medium build, long brown hair	Light dresses, often in muted tones, practical for travel	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Robert Grant	12-14	Male	Child, son of Captain Grant	Brave, intelligent, loyal	Main protagonist	Son of Captain Grant	Chapter 1	Clever, daring, protective of his sister Mary	Joins his sister in the search for their father, often uses his intellect to solve problems	Admires his father deeply, close to his sister Mary	Short, wavy hair, strong features	Practical travel clothing, typically in lighter colors, rugged for exploration	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Captain Grant	40-45	Male	Former sailor, Scottish captain	Brave, resilient, authoritative	Minor character	Former sailor	Chapter 1	Stubborn, determined, strong-willed	Shipwrecked, presumed lost, with the children searching for him throughout the novel	Leaves behind an enduring legacy of bravery and leadership	Graying hair, mustache	Uniform or nautical attire, usually weathered, worn by the time of his disappearance	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Professor Paganel	40-50	Male	Geographer, French	Absent-minded, humorous, knowledgeable	Supporting character	Geographer	Chapter 4	Absent-minded, comical, highly knowledgeable	Assists the Grants in their search for Captain Grant, often provides vital knowledge or directions	Becomes a comedic yet reliable companion to the Grants	Thin, scholarly appearance, glasses	Travel attire, often with a weathered coat or vest	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Jacques Paganel	40-45	Male	Assistant to Professor Paganel	Brave, kind-hearted, loyal	Supporting character	Assistant to Professor Paganel	Chapter 4	Brave, dependable, empathetic	Accompanies the group on their search for Captain Grant, takes on leadership roles when needed	Acts as a close companion to the Grants, especially Robert and Mary	Short hair, strong physique	Practical travel attire, similar to Paganel’s, but simpler	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Hercules	30-40	Male	Servant, African-American	Strong, loyal, resourceful	Supporting character	Servant	Chapter 1	Physically strong, loyal, willing to help	Assists the Grant children in their journey, using his strength to overcome obstacles	Deeply loyal to the Grants, especially to the children	Strong, muscular build	Sturdy, practical clothing suited for outdoor work	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Captain Crichton	45-50	Male	Ship captain, British	Brave, responsible, capable	Supporting character	Ship captain	Chapter 6	Brave, dependable, experienced	Helps the Grants navigate the seas, contributes to the search for Captain Grant	Becomes an ally to the Grants, and has a close professional relationship with Professor Paganel	Short, graying hair, commanding presence	Uniformed captain’s attire, often in navy blue	ChatGPT	In Search of the Castaways; Or, The Children of Captain Grant	2025-01-20
Dr. Samuel Fergusson	40-50	Male	Scientist, British	Inventive, daring, calm	Main protagonist	Explorer, doctor	Chapter 1	Courageous, methodical, thoughtful	Embarks on a balloon expedition across Africa, an expert in science and medicine	Leader of the expedition, develops a deep friendship with his companions	Average build, scholarly appearance	Explorer’s outfit, often practical and neutral tones, suited for travel	ChatGPT	Five Weeks in a Balloon	2025-01-20
Joe	30-40	Male	Servant, African	Strong, loyal, hardworking	Supporting character	Servant	Chapter 1	Loyal, brave, resourceful	Accompanies Dr. Fergusson on the balloon journey, contributes greatly to the group's survival	Deeply loyal to Dr. Fergusson, protective of the group	Sturdy, muscular build, strong features	Practical work clothing, often in simple, earthy colors	ChatGPT	Five Weeks in a Balloon	2025-01-20
Fergusson's Balloon (The Victoria)	Varies	Non-human	Object	Iconic, resilient	Main supporting character	Vehicle	Chapter 1	Stable, resilient, vital	Provides transportation for the journey, plays a central role in the expedition	Instrumental in the journey's success, allows for rapid travel across the continent	Not applicable	Not applicable, but essential for the journey	ChatGPT	Five Weeks in a Balloon	2025-01-20
Dick Sand	15	Male	Young, orphaned	Brave, resourceful, intelligent	Main protagonist	Young captain	Chapter 1	Courageous, determined, responsible	Becomes the captain of a ship after the death of the actual captain, manages to save his crew during dangerous adventures	Has a close bond with the crew and particularly with his mother figure, Mrs. Weldon	Young, fair features, strong build	Seafaring clothing, simple yet functional, in shades of navy and brown	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Mrs. Weldon	35-40	Female	American, wife of the late Mr. Weldon	Compassionate, determined, protective	Supporting character	Wife and mother	Chapter 2	Caring, loving, strong-willed	Accompanies Dick and the others on the ship, looks out for the safety and well-being of the children and the crew	Forms a close relationship with Dick, protective of her son, Jack	Graceful, gentle expression, middle-aged	Practical, modest dresses, often in dark or neutral tones	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Jack Weldon	10-12	Male	Young boy, son of Mrs. Weldon	Naive, innocent, cheerful	Supporting character	Son of Mrs. Weldon	Chapter 2	Innocent, optimistic, trusting	Relies heavily on Dick Sand for guidance, often faces difficult challenges during the journey	Formative relationship with Dick, deeply connected with his mother	Small, childlike appearance, blonde hair	Light, youthful clothing, often in white or soft pastels	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Captain Hull	40-45	Male	Experienced captain	Experienced, authoritative, compassionate	Minor character	Ship captain	Chapter 1	Experienced, responsible, a natural leader	Originally the captain of the ship, dies and passes on leadership to Dick Sand, supports him until his death	Acts as a mentor to Dick, forms a fatherly relationship before his passing	Worn, strong features, graying hair	Formal ship captain's attire, usually in navy tones	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Negro Zambo	25-30	Male	Servant, African	Strong, resourceful, loyal	Supporting character	Servant	Chapter 1	Loyal, brave, clever	Works for the Weldons, helps Dick with the practical aspects of leadership on the ship	Deeply loyal to the Weldons, particularly to Dick Sand	Stocky build, strong physique	Practical, rugged clothing, often in dark colors for work	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Henderson	35-40	Male	American, traveler	Manipulative, selfish, opportunistic	Antagonist	Traveler	Chapter 6	Selfish, dishonest, cunning	Attempts to seize control of the ship and leads the group into dangerous situations	Opposes Dick Sand’s leadership, manipulates others for his own gain	Sharp features, calculating expression	Travel clothing, usually in darker colors, worn and rugged	ChatGPT	Dick Sand: A Captain at Fifteen	2025-01-20
Narrator	35	Male	Middle Class	Curious, Analytical	Main Protagonist	Writer	Chapter 1	Cautious, Observant, Resilient	Survives the Martian invasion, documents events	Wife (unnamed)	Average build, dark hair, mustache	Simple suit, dark gray and white shirt	ChatGPT	The War of the Worlds	2025-01-21
Narrator's Wife	30	Female	Middle Class	Caring, Loyal	Supporting Character	Homemaker	Chapter 2	Compassionate, Supportive	Leaves for safety with relatives	Narrator	Average build, modest features	Plain dress, light blue or beige	ChatGPT	The War of the Worlds	2025-01-21
The Artilleryman	25	Male	Lower-Middle Class	Ambitious, Imaginative	Secondary Character	Soldier	Chapter 11	Idealistic, Charismatic, Lazy	Discusses plans to rebuild humanity, eventually gives up hope		Tall, rugged, short hair	Army uniform, khaki and brown	ChatGPT	The War of the Worlds	2025-01-21
The Curate	40	Male	Middle Class	Religious, Distraught	Secondary Character	Clergyman	Chapter 13	Naive, Nervous, Panicky	Collapses under pressure, endangers Narrator	Narrator	Thin, pale, unkempt hair	Simple black clerical attire	ChatGPT	The War of the Worlds	2025-01-21
Ogilvy	50	Male	Upper-Middle Class	Inquisitive, Scientific	Supporting Character	Astronomer	Chapter 1	Optimistic, Intelligent	First to observe the Martians		Stocky, wears spectacles	Overcoat, brown and gray	ChatGPT	The War of the Worlds	2025-01-21
Henderson	45	Male	Upper Class	Professional, Skeptical	Supporting Character	Journalist	Chapter 2	Calm, Rational, Observant	Reports on Martian cylinder		Tall, clean-shaven, neatly dressed	Dark suit, white shirt	ChatGPT	The War of the Worlds	2025-01-21
Lord Garrick	60	Male	Upper Class	Influential, Detached	Minor Character	Landowner	Chapter 10	Authoritative, Reserved	Attempts to maintain control		Portly, graying hair	Formal attire, black and white	ChatGPT	The War of the Worlds	2025-01-21
Stent	50	Male	Upper Class	Methodical, Scientific	Supporting Character	Astronomer	Chapter 4	Precise, Collaborative, Focused	Investigates the cylinder		Average height, spectacles	Overcoat, black and gray	ChatGPT	The War of the Worlds	2025-01-21
Unnamed Boy	12	Male	Lower Class	Innocent, Fearful	Minor Character		Chapter 16	Frightened, Quiet	Flees destruction		Small, thin	Ragged clothes, brown and gray	ChatGPT	The War of the Worlds	2025-01-21
Martians	Unknown	Unknown	Alien Species	Highly Advanced	Main Antagonists	Conquerors	Chapter 1	Intelligent, Ruthless, Calculating	Launch invasion, destroy cities		Tentacled, grayish-green		ChatGPT	The War of the Worlds	2025-01-21
The Time Traveller	40	Male	Upper-Middle Class	Intelligent, Inventive	Main Protagonist	Scientist/Inventor	Chapter 1	Curious, Determined, Adventurous	Invents and travels with the Time Machine		Medium build, dark hair, mustache	Practical Victorian suit, brown and gray	ChatGPT	The Time Machine	2025-01-21
Weena	20 (appears younger)	Female	Lower Class (Eloi society)	Innocent, Gentle	Supporting Character	Eloi	Chapter 7	Kind, Loyal, Fragile	Forms bond with the Time Traveller, dies tragically		Small, delicate, golden hair	Flowing, pale pink tunic	ChatGPT	The Time Machine	2025-01-21
The Narrator	35	Male	Middle Class	Curious, Observant	Secondary Character	Writer	Chapter 1	Analytical, Skeptical, Loyal	Documents the Time Traveller's story		Average build, dark hair	Simple suit, black and white	ChatGPT	The Time Machine	2025-01-21
The Medical Man	40	Male	Upper Class	Professional, Logical	Minor Character	Doctor	Chapter 1	Skeptical, Rational	Questions the Time Traveller's story		Tall, clean-shaven, neat appearance	Formal suit, dark blue and white	ChatGPT	The Time Machine	2025-01-21
The Psychologist	38	Male	Upper Class	Inquisitive, Analytical	Minor Character	Psychologist	Chapter 1	Skeptical, Thoughtful	Engages in discussions about time travel		Thin, wiry, spectacles	Formal attire, dark green and gray	ChatGPT	The Time Machine	2025-01-21
The Provincial Mayor	50	Male	Upper-Middle Class	Authoritative, Respectful	Minor Character	Mayor	Chapter 1	Pragmatic, Curious	Attends the Time Traveller's presentation		Stocky, graying hair	Formal Victorian attire, black and white	ChatGPT	The Time Machine	2025-01-21
The Editor	45	Male	Upper Class	Critical, Professional	Minor Character	Editor	Chapter 1	Cynical, Sharp, Intelligent	Questions the validity of the story		Average build, clean-shaven	Elegant suit, black and white	ChatGPT	The Time Machine	2025-01-21
The Eloi	20 (average, appears younger)	Male/Female	Lower Class	Childlike, Passive	Supporting Characters		Chapter 5	Naive, Peaceful, Fragile	Live a simple, communal life		Small, delicate, fair-skinned	Flowing, pale tunics of various pastel colors	ChatGPT	The Time Machine	2025-01-21
The Morlocks	Unknown	Male/Female	Working Class	Brutish, Predatory	Antagonists		Chapter 5	Sinister, Industrious, Aggressive	Lurk underground, prey on Eloi		Short, pale, large eyes		ChatGPT	The Time Machine	2025-01-21
Edward Prendick	30-35	Male	Middle-class	Moral compass, educated	Protagonist	Scientist	Chapter 1	Curious, ethical, adaptable	Survives shipwreck, confronts Moreau		Average build, clean-shaven	White shirt, brown trousers	ChatGPT	The island of Doctor Moreau	2025-01-21
Dr. Moreau	50-60	Male	Upper-class	Obsessive, brilliant	Antagonist	Scientist	Chapter 6	Ruthless, single-minded	Conducts vivisections, creates Beast Folk		Tall, gaunt, intense eyes	Lab coat, dark trousers	ChatGPT	The island of Doctor Moreau	2025-01-21
Montgomery	40-45	Male	Disgraced	Alcoholic, loyal	Supporting character	Assistant	Chapter 4	Secretive, conflicted	Rescues Prendick, assists Moreau		Disheveled, unkempt hair	Shirt, vest, trousers	ChatGPT	The island of Doctor Moreau	2025-01-21
M'ling	Unknown	Male	Beast Folk	Hybrid creature	Supporting character	Servant	Chapter 7	Loyal, servile	Serves Montgomery, endures abuse		Grotesque, part bear/dog/ox		ChatGPT	The island of Doctor Moreau	2025-01-21
Captain Davies	50-55	Male	Lower-class	Drunk, cruel	Minor character	Captain	Chapter 2	Violent, erratic	Sets Prendick adrift		Disheveled, unkempt beard	Dirty sailor uniform	ChatGPT	The island of Doctor Moreau	2025-01-21
The Sayer of the Law	Unknown	Male	Beast Folk	Priest-like leader	Supporting character	Priest	Chapter 12	Authoritative, devout	Leads Beast Folk in reciting the Law		Grey, hairy, talons		ChatGPT	The island of Doctor Moreau	2025-01-21
Leopard-man	Unknown	Male	Beast Folk	Dangerous, rebellious	Supporting character	Hunter	Chapter 14	Violent, defiant	Attacks Moreau, breaks the Law		Leopard-like features		ChatGPT	The island of Doctor Moreau	2025-01-21
Griffin (The Invisible Man)	30	Male	Upper-Middle Class	Intelligent, Secretive	Main Protagonist	Scientist	Chapter 1	Brilliant, Ambitious, Ruthless	Discovers invisibility, terrorizes townspeople		Tall, thin, pale, invisible body	Heavy overcoat, gloves, dark hat, bandages (white)	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Dr. Kemp	35	Male	Upper-Middle Class	Calm, Rational	Supporting Character	Scientist	Chapter 17	Level-headed, Resourceful, Brave	Helps capture Griffin	Colleague of Griffin	Medium build, neat appearance	Professional suit, dark gray	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Mrs. Hall	50	Female	Middle Class	Curious, Assertive	Supporting Character	Innkeeper	Chapter 2	Inquisitive, Talkative, Stubborn	Runs the Coach and Horses Inn	George Hall (husband)	Plump, rosy-cheeked	Plain dress, apron, earthy tones	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
George Hall	50	Male	Middle Class	Easygoing, Supportive	Supporting Character	Innkeeper	Chapter 2	Calm, Hardworking, Kind	Assists Mrs. Hall in running the inn	Mrs. Hall (wife)	Stocky, weathered features	Work clothes, brown and beige	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Thomas Marvel	45	Male	Lower Class	Cowardly, Opportunistic	Supporting Character	Drifter	Chapter 9	Greedy, Witty, Nervous	Becomes Griffin's reluctant accomplice		Short, round, unkempt	Bowler hat, shabby coat, brown and gray	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Colonel Adye	50	Male	Upper Class	Authoritative, Brave	Supporting Character	Police Officer	Chapter 21	Honest, Courageous, Loyal	Organizes efforts to apprehend Griffin		Tall, strong, mustache	Police uniform, dark blue	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Mr. Cuss	40	Male	Middle Class	Curious, Nervous	Minor Character	Doctor	Chapter 5	Inquisitive, Anxious, Bold	Investigates Griffin, narrowly escapes harm		Thin, spectacles, neat appearance	Professional attire, black and white	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Mr. Bunting	55	Male	Middle Class	Traditional, Skeptical	Minor Character	Reverend	Chapter 5	Pious, Calm, Observant	Encounters Griffin during a robbery		Average height, balding, thin	Clerical attire, black and white	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Teddy Henfrey	30	Male	Lower Class	Gossipy, Distrustful	Minor Character	Clock Repairman	Chapter 4	Nosy, Skeptical, Chatty	Suspects Griffin’s secrecy early on		Average height, stocky	Plaid shirt, brown trousers	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
The Villagers	Varied	Male/Female	Lower-Middle Class	Simple, Superstitious	Supporting Characters	Various occupations	Chapter 3	Fearful, Reactive, Cooperative	React to Griffin's presence and crimes		Diverse appearances	Diverse, plain clothing	ChatGPT	The Invisible Man: A Grotesque Romance	2025-01-21
Buck	4	Male	Upper (as a pampered pet); Later Wild	Strong, resilient, intelligent, adaptable	Main protagonist	Pet, sled dog	Chapter 1	Loyal, brave, cunning, determined	Leads the sled team, defeats Spitz, becomes a leader	Develops bonds with John Thornton and other dogs	Large, muscular, thick coat of fur	Brown fur, no clothing	ChatGPT	The call of the wild	2025-01-22
John Thornton	40s	Male	Middle	Loyal, kind, empathetic, brave	Supporting Human	Prospector	Chapter 6	Compassionate, wise, fearless	Risks his life for Buck; saves him from cruel owners	Deep bond with Buck	Bearded, rugged outdoorsman	Simple, durable clothing; neutral tones	ChatGPT	The call of the wild	2025-01-22
Spitz	5	Male	Wild	Leader of the sled team before Buck	Antagonist	Sled dog	Chapter 2	Aggressive, dominant, cunning	Fights Buck for leadership; kills weaker dogs	No strong human relationships	White-coated husky with piercing eyes	White fur, no clothing	ChatGPT	The call of the wild	2025-01-22
Manuel	20s	Male	Lower (Gardener’s helper)	Greedy, deceitful	Minor human	Manual laborer	Chapter 1	Scheming, selfish	Sells Buck for money	Works under Judge Miller	Thin build, tanned skin	Work clothes, beige and brown tones	ChatGPT	The call of the wild	2025-01-22
Judge Miller	50s	Male	Upper (Wealthy estate owner)	Kind, dignified, caring	Minor human	Wealthy landowner	Chapter 1	Gentle, responsible	Raises Buck in a pampered lifestyle	Buck’s original owner	Older, dignified man with a clean appearance	Formal suits, likely dark colors	ChatGPT	The call of the wild	2025-01-22
Hal	20s	Male	Middle	Inexperienced, reckless	Minor antagonist	Traveler, adventurer	Chapter 5	Impatient, cruel, foolish	Mistreats dogs and leads to their deaths	Brother-in-law to Charles	Young, thin, pale	Rough traveling clothes, green and gray tones	ChatGPT	The call of the wild	2025-01-22
Charles	30s	Male	Middle	Clueless, weak-willed	Minor antagonist	Traveler, adventurer	Chapter 5	Weak, indecisive, naive	Unable to manage sled dogs effectively	Married to Mercedes	Balding, average build, pale face	Unkempt clothes, brown and beige colors	ChatGPT	The call of the wild	2025-01-22
Mercedes	25	Female	Middle	Spoiled, whiny, dramatic	Minor antagonist	Traveler	Chapter 5	Entitled, impractical, emotional	Mismanages supplies; mistreats dogs	Sister to Hal; wife to Charles	Petite, delicate features	Frilly, impractical dresses, light colors	ChatGPT	The call of the wild	2025-01-22
Dave	5	Male	Working dog	Tough, diligent, dedicated	Supporting sled dog	Sled dog	Chapter 2	Stoic, hardworking, loyal	Works hard despite pain and illness	Friendly bond with sled team	Medium-sized dog with dark fur	Dark fur, no clothing	ChatGPT	The call of the wild	2025-01-22
Curly	3	Female	Working dog	Friendly, naive, gentle	Supporting sled dog	Sled dog	Chapter 2	Innocent, trusting	Killed by wild dogs early in the story	Friendly toward Buck	Medium-sized dog with reddish fur	Reddish fur, no clothing	ChatGPT	The call of the wild	2025-01-22
François	40s	Male	Lower	Experienced, practical	Supporting human	Sled driver	Chapter 2	Skilled, fair, pragmatic	Cares for and trains sled dogs	Works with Perrault	Strong, stocky build with dark hair	Practical winter gear, dark tones	ChatGPT	The call of the wild	2025-01-22
Perrault	30s	Male	Middle	Brave, competent, adventurous	Supporting human	Mail courier	Chapter 2	Resourceful, determined, courageous	Successfully manages sled team	Works with François	Lean, wiry, weathered face	Warm, fur-lined clothing, gray and white tones	ChatGPT	The call of the wild	2025-01-22
Thornton’s Team (Skeezix, Nig, etc.)	Varied	Male and Female	Working dogs	Varied	Supporting sled dogs	Sled dogs	Chapter 6	Faithful, hardworking, loyal	Assist Thornton and Buck in their journeys	Part of John Thornton’s pack	Varied in size and fur color	No clothing	ChatGPT	The call of the wild	2025-01-22
White Fang	Varies	Male	Wild (later domesticated)	Strong, resilient, intelligent, adaptable	Main protagonist	Wolf-dog	Part 2, Chapter 3	Fierce, loyal, brave, intelligent	Survives the wild, becomes domesticated, saves Scott's father	Develops a bond with Weedon Scott and other dogs	Large, muscular, thick coat of fur	Gray and white fur, no clothing	Copilot	White Fang	2025-01-22
Kiche (the she-wolf)	Varies	Female	Wild	Strong, maternal, protective	Supporting character	Wolf-dog	Part 1, Chapter 3	Protective, fierce, nurturing	Survives the wild, raises White Fang	Mother of White Fang	Lean, agile, thick coat of fur	Gray fur, no clothing	Copilot	White Fang	2025-01-22
One Eye	Varies	Male	Wild	Strong, resilient, experienced	Supporting character	Wolf	Part 1, Chapter 3	Determined, fierce, resourceful	Survives the wild, mates with Kiche	Father of White Fang	Scarred, one-eyed, thick coat of fur	Gray fur, no clothing	Copilot	White Fang	2025-01-22
Weedon Scott	30s	Male	Middle	Kind, empathetic, brave	Supporting human	Prospector	Part 4, Chapter 5	Compassionate, wise, patient	Tames White Fang, saves him from Beauty Smith	Deep bond with White Fang	Bearded, rugged outdoorsman	Simple, durable clothing; neutral tones	Copilot	White Fang	2025-01-22
Beauty Smith	40s	Male	Lower	Cruel, greedy, manipulative	Antagonist	Dogfighter	Part 3, Chapter 4	Brutal, sadistic, exploitative	Forces White Fang to fight, mistreats him	No strong relationships	Unkempt, rough appearance	Shabby clothing, dark tones	Copilot	White Fang	2025-01-22
